-9.946134, -0.113576
-9.570785, -2.262373
-9.096503, -3.786170
-8.846660, -4.503645
-8.589540, -4.875153
-6.592026, -7.354751
-5.600653, -8.155953
-4.302691, -8.926953
-2.129458, -9.754324
-1.762104, -9.797398
-0.485522, -9.867068
0.059957, -9.837464
2.359698, -9.643441
3.512201, -9.323607
3.997181, -9.160536
4.776765, -8.735344
6.060758, -7.891096
6.559607, -7.511697
7.709637, -6.324884
8.441593, -5.305171
9.383635, -3.322934
9.784180, -1.543894
9.953104, 0.184504
9.957585, 0.324733
9.900481, 1.037310
9.832218, 1.720528
9.165558, 3.627335
8.288537, 5.453362
7.829737, 6.191177
7.648334, 6.408589
6.718229, 7.380065
5.683746, 8.212588
4.349815, 8.842038
2.685024, 9.620771
2.159861, 9.731115
-0.000763, 9.952340
-1.605899, 9.867808
-4.397539, 8.854995
-6.135246, 7.624224
-7.045727, 6.951604
-8.028539, 5.882133
-9.305114, 3.505853
-9.680828, 1.914346
